Slide;Dataset;Aperio;3D_HISTECH;NZ2.0;NZ210;Leica;fold 1;fold 2;fold 3;fold 4;fold 5
scc_01;train;146_14a_SCC_MF.svs;146_14_A_SCC.mrxs;146_14a_SCC.ndpi;146_14a_SCC.ndpi;146_14a_SCC.svs;train;train;val;train;train
scc_02;train;146_14c_SCC_MF.svs;146_14_C_SCC.mrxs;146_14c_SCC.ndpi;146_14c_SCC.ndpi;146_14c_SCC.svs;val;train;train;train;train
scc_03;val;175_17_SCC_MF.svs;175_17_SCC.mrxs;175_17_SCC.ndpi;175_17_SCC.ndpi;175_17_SCC.svs;val;train;train;train;train
scc_04;train;1217_18aR_SCC_MF.svs;1217_18_A_SCC.mrxs;1217_18aR_SCC.ndpi;1217_18aR_SCC.ndpi;1217_18aR_SCC.svs;train;train;val;train;train
scc_05;train;1217_18c_SCC_MF.svs;1217_18_C_SCC.mrxs;1217_18c_SCC.ndpi;1217_18c_SCC.ndpi;1217_18c_SCC.svs;train;train;train;train;val
scc_06;train;1217_18f_SCC_MF.svs;1217_18_F_SCC.mrxs;1217_18f_SCC.ndpi;1217_18f_SCC.ndpi;1217_18f_SCC.svs;train;train;train;train;val
scc_07;test;1576_20_SCC_MF.svs;1576_20_SCC.mrxs;1576_20_SCC.ndpi;1576_20_SCC.ndpi;1576_20_SCC.svs;test;test;test;test;test
scc_08;test;1598_14_SCC_MF.svs;1598_14_SCC.mrxs;1598_14_SCC.ndpi;1598_14_SCC.ndpi;1598_14_SCC.svs;test;test;test;test;test
scc_09;val;1714_14b_SCC_MF.svs;1714_14_B_SCC.mrxs;1714_14b_SCC.ndpi;1714_14b_SCC.ndpi;1714_14b_SCC.svs;train;train;train;val;train
scc_10;test;1860_20d_SCC_MF.svs;1860_20_D_SCC.mrxs;1860_20d_SCC.ndpi;1860_20d_SCC.ndpi;1860_20d_SCC.svs;test;test;test;test;test
scc_11;test;1924_14_SCC_MF.svs;1924_14_SCC.mrxs;1924_14_SCC.ndpi;1924_14_SCC.ndpi;1924_14_SCC.svs;test;test;test;test;test
scc_12;train;2170_15d_SCC_MF.svs;2170_15_D_SCC.mrxs;2170_15d_SCC.ndpi;2170_15d_SCC.ndpi;2170_15d_SCC.svs;train;train;train;val;train
scc_13;train;2391_14c_SCC_MF.svs;2391_14_C_SCC.mrxs;2391_14c_SCC.ndpi;2391_14c_SCC.ndpi;2391_14c_SCC.svs;train;val;train;train;train
scc_14;train;2391_14d_SCC_MF.svs;2391_14.mrxs;2391_14d_SCC.ndpi;2391_14d_SCC.ndpi;2391_14d_SCC.svs;train;train;train;train;val
scc_15;train;2711_14e_SCC_MF.svs;2711_14_E_SCC.mrxs;2711_14e_SCC.ndpi;2711_14e_SCC.ndpi;2711_14e_SCC.svs;train;train;train;val;train
